scene_id,human_id,size
0,3,-1
0,4,4908
0,8,2237
0,9,2049
0,12,777
0,13,7037
0,17,5638
0,19,2967
0,23,-1
0,29,44
0,33,-1
0,34,-1
0,38,-1
0,44,-1
0,46,-1
0,52,-1
0,57,-1
0,61,-1
0,63,-1
0,70,-1
0,74,5887
0,78,5272
0,80,3995
0,86,6368
0,91,2110
0,93,-1
0,97,2352
0,103,-1
0,107,1197
0,109,-1
0,113,650
0,117,-1
0,124,-1
0,129,4725
0,133,-1
0,138,-1
0,142,-1
116,1,-1
116,20,-1
116,21,-1
116,23,-1
116,24,-1
116,27,-1
116,29,-1
116,53,-1
116,58,-1
116,64,-1
116,77,-1
116,87,-1
116,100,-1
116,123,-1
116,125,-1
116,133,-1
